Gene_ID	Annotation
C1G03540.1	GO:0005739
C1G03550.1	GO:0005886
C1G03560.1	GO:0005739
C1G03590.1	GO:0005886
C1G03600.1	GO:0009507
C1G03600.1	GO:0009579
C1G03600.1	GO:0009535
C1G03600.1	GO:0009535
C1G03600.1	GO:0009535
C1G03600.1	GO:0009535
C1G03600.1	GO:0009507
C1G03600.1	GO:0009535
C1G03600.1	GO:0009535
C1G03600.1	GO:0009534
C1G03600.1	GO:0009534
C1G03600.1	GO:0009535
C1G03600.1	GO:0009579
C1G03600.1	GO:0009535
C1G03600.1	GO:0009507
C1G03600.1	GO:0009534
C1G03600.1	GO:0009535
C1G03600.1	GO:0009534
C1G03600.1	GO:0009535
C1G03610.1	GO:0005634
C1G03620.1	GO:0005737
C1G03630.1	GO:0009535
C1G03630.1	GO:0009941
C1G03630.1	GO:0009941
C1G03630.1	GO:0009507
C1G03630.1	GO:0009941
C1G03630.1	GO:0009507
C1G03630.1	GO:0009941
C1G03630.1	GO:0009535
C1G03630.1	GO:0009941
C1G03630.1	GO:0009534
C1G03630.1	GO:0009534
C1G03630.1	GO:0009535
C1G03630.1	GO:0009535
C1G03630.1	GO:0009941
C1G03630.1	GO:0009941
C1G03630.1	GO:0009534
C1G03630.1	GO:0009507
C1G03630.1	GO:0009941
C1G03630.1	GO:0009534
C1G03630.1	GO:0009535
C1G03650.1	GO:0005737
C1G03680.1	GO:0009941
C1G03680.1	GO:0009570
C1G03680.1	GO:0009570
C1G03680.1	GO:0009570
C1G03680.1	GO:0009507
C1G03680.1	GO:0009570
C1G03680.1	GO:0009941
C1G03680.1	GO:0009570
C1G03680.1	GO:0009941
C1G03680.1	GO:0009570
C1G03680.1	GO:0009941
C1G03680.1	GO:0009570
C1G03680.1	GO:0009507
C1G03680.1	GO:0009570
C1G03680.1	GO:0009570
C1G03680.1	GO:0009579
C1G03680.1	GO:0009579
C1G03680.1	GO:0009570
C1G03680.1	GO:0009570
C1G03680.1	GO:0009570
C1G03680.1	GO:0009570
C1G03680.1	GO:0009570
C1G03680.1	GO:0048046
C1G03680.1	GO:0009570
C1G03680.1	GO:0009570
C1G03710.1	GO:0005634
C1G03730.1	GO:0009507
C1G03740.1	GO:0005634
C1G03750.1	GO:0005634
C1G03750.1	GO:0016020
C1G03760.1	GO:0005634
C1G03770.2	GO:0005634
C1G03780.3	GO:0005634
C1G03790.1	GO:0005634
C1G03800.1	GO:0005634
C1G03810.1	GO:0005634
C1G03820.1	GO:0009507
C1G03830.2	GO:0005634
C1G03840.1	GO:0005634
C1G03850.1	GO:0005739
C1G03860.1	GO:0005739
C1G03860.1	GO:0005774
C1G03860.1	GO:0005773
C1G03860.1	GO:0005774
C1G03860.1	GO:0009507
C1G03860.1	GO:0005618
C1G03860.1	GO:0005773
C1G03860.1	GO:0005774
C1G03860.1	GO:0005739
C1G03860.1	GO:0009507
C1G03870.1	GO:0046658
C1G03870.1	GO:0046658
C1G03870.1	GO:0005886
C1G03870.1	GO:0005886
C1G03890.1	GO:0005576
C1G03900.1	GO:0005737
C1G03905.1	GO:0005886
C1G03910.2	GO:0005634
C1G03920.1	GO:0005886
C1G03920.1	GO:0005634
C1G03930.1	GO:0005737
C1G03940.1	GO:0005737
C1G03960.1	GO:0005634
C1G03970.1	GO:0009507
C1G03980.1	GO:0009507
C1G03982.1	GO:0005634
C1G04000.1	GO:0005634
C1G04030.1	GO:0005634
C1G04040.1	GO:0005774
C1G04040.1	GO:0005773
C1G04040.1	GO:0005774
C1G04040.1	GO:0005618
C1G04040.1	GO:0005773
C1G04040.1	GO:0005774
C1G04040.1	GO:0009506
C1G04050.1	GO:0005634
C1G04070.1	GO:0005739
C1G04080.3	GO:0005634
C1G04100.1	GO:0005634
C1G04110.1	GO:0005576
C1G04120.1	GO:0000325
C1G04120.1	GO:0000325
C1G04120.1	GO:0005774
C1G04120.1	GO:0005774
C1G04120.1	GO:0005774
C1G04120.1	GO:0005886
C1G04130.1	GO:0005737
C1G04160.1	GO:0005634
C1G04170.1	GO:0005829
C1G04170.1	GO:0005737
C1G04190.1	GO:0005829
C1G04190.1	GO:0005634
C1G04200.1	GO:0005634
C1G04210.1	GO:0005634
C1G04220.1	GO:0005634
C1G04230.1	GO:0005634
C1G04240.1	GO:0005634
C1G04250.1	GO:0005634
C1G04260.1	GO:0005737
C1G04270.1	GO:0005737
C1G04270.1	GO:0022626
C1G04270.1	GO:0022626
